#TYPE Selected.System.Management.Automation.PSCustomObject
"Name","Syntax","Pipeline","CodeStyle","FlowControl","Messaging","FunctionName","SilentParameter","BreakContinue","DeprecatedVerbostyCommands"
"Copy-SqlCustomError","True","False","False","False","False","False","True","False",
"Update-SqlWhoIsActive","True","False","False","False","False","False","True","False",
"Get-DbaLastBackup","True","False","False","False","False","True","True","False",
"Remove-SqlDatabaseSafely","True","False","False","False","False","False","True","False",
"Get-DbaDatabaseState","True","False","False","False","False","True","True","False",
"Copy-SqlAlert","True","False","False","False","False","False","True","False",
"Find-DbaStoredProcedure","True","False","False","False","False","True","True","False",
"Copy-SqlExtendedEvent","True","False","False","False","False","False","True","False",
"Find-DbaOrphanedFile","True","False","False","False","False","True","True","False",
"Copy-SqlCentralManagementServer","True","False","False","False","False","False","True","False",
"Copy-SqlAgentCategory","True","False","False","False","False","False","True","False",
"Disable-SqlLogonTrigger","True","False","False","False","False","False","True","False",
"Test-DbaLastBackup","True","False","False","False","False","True","True","False",
"Set-DbaSpConfigure","True","False","False","False","False","True","True","False",
"Test-SqlConnection","True","False","False","False","False","False","True","False",
"Get-DbaAgentJobOutputFile","True","False","False","False","False","True","True","False",
"Install-DbaWatchUpdate","True","False","False","False","False","True","True","False",
"Copy-SqlOperator","True","False","False","False","False","False","True","False",
"Read-DbaBackupHeader","True","False","False","False","False","True","True","False",
"Test-DbaMaxDop","True","False","False","False","False","True","True","False",
"Test-DbaDatabaseOwner","True","False","False","False","False","True","True","False",
"Sync-SqlLoginPermissions","True","False","False","False","False","False","True","False",
"Test-SqlNetworkLatency","True","False","False","False","False","False","True","False",
"Set-DbaDatabaseState","True","False","False","False","False","True","True","False",
"Set-DbaMaxDop","True","False","False","False","False","True","True","False",
"Get-DbaSpn","True","False","False","False","False","True","True","False",
"Find-DbaUserObject","True","False","False","False","False","True","True","False",
"Find-DbaDatabase","True","False","False","False","False","True","True","False",
"Remove-DbaDatabase","True","False","False","False","False","True","True","False",
"Test-SqlTempDbConfiguration","True","False","False","False","False","False","True","False",
"Set-DbaConfig","True","False","False","False","False","True","True","False",
"Export-DbaExecutionPlan","True","False","False","False","False","True","True","False",
"Export-SqlSpConfigure","True","False","False","False","False","False","True","False",
"Get-DbaTcpPort","True","False","False","False","False","True","True","False",
"Copy-SqlDatabaseAssembly","True","False","False","False","False","False","True","False",
"Get-DbaUptime","True","False","False","False","False","True","True","False",
"Remove-DbaBackup","True","False","False","False","False","True","True","False",
"Get-DbaDetachedDatabaseInfo","True","False","False","False","False","True","True","False",
"Test-DbaDiskAllocation","True","False","False","False","False","True","True","False",
"Get-DbaNetworkActivity","True","False","False","False","False","True","True","False",
"Install-SqlWhoIsActive","True","False","False","False","False","False","True","False",
"Get-DbaExecutionPlan","True","False","False","False","False","True","True","False",
"Find-DbaCommand","True","False","False","False","False","True","True","False",
"Copy-SqlSharedSchedule","True","False","False","False","False","False","True","False",
"Get-DbaClientProtocol","True","False","False","False","False","True","True","False",
"Get-DbaLinkedServer","True","False","False","False","False","True","True","False",
"Get-DbaMaxMemory","True","False","False","False","False","True","True","False",
"Copy-SqlServerRole","True","False","False","False","False","False","True","False",
"Out-DbaDataTable","True","False","False","False","False","True","True","False",
"Clear-DbaSqlConnectionPool","True","False","False","False","False","True","True","False",
"Copy-SqlAudit","True","False","False","False","False","False","True","False",
"Get-DbaTempdbUsage","True","False","False","False","False","True","True","False",
"Get-DbaCredential","True","False","False","False","False","True","True","False",
"Test-DbaDatabaseCollation","True","False","False","False","False","True","True","False",
"Get-DbaStartupParameter","True","False","False","False","False","True","True","False",
"Copy-SqlServerTrigger","True","False","False","False","False","False","True","False",
"Copy-DbaQueryStoreConfig","True","False","False","False","False","True","True","False",
"Set-DbaSpn","True","False","False","False","False","True","True","False",
"Test-SqlPath","True","False","False","False","False","False","True","False",
"Copy-SqlDataCollector","True","False","False","False","False","False","True","False",
"Get-DbaJobCategory","True","False","False","False","False","True","True","False",
"Get-DbaDatabaseFreespace","True","False","False","False","False","True","True","False",
"Repair-DbaServerName","True","False","False","False","False","True","True","False",
"Test-DbaDatabaseCompatibility","True","False","False","False","False","True","True","False",
"Get-DbaBackupHistory","True","False","False","False","False","True","True","False",
"Get-DbaRoleMember","True","False","False","False","False","True","True","False",
"Test-DbaOptimizeForAdHoc","True","False","False","False","False","True","True","False",
"Import-CsvToSql","True","False","False","False","False","False","True","False",
"Get-DbaRestoreHistory","True","False","False","False","False","True","True","False",
"Remove-DbaDatabaseSnapshot","True","False","False","False","False","True","True","False",
"Find-DbaDatabaseGrowthEvent","True","False","False","False","False","True","True","False",
"Get-DbaBackupDevice","True","False","False","False","False","True","True","False",
"New-DbaDatabaseSnapshot","True","False","False","False","False","True","True","False",
"Get-DbaLastGoodCheckDb","True","False","False","False","False","True","True","False",
"Start-SqlMigration","True","False","False","False","False","False","True","False",
"Get-DbaConfig","True","False","False","False","False","True","True","False",
"Export-DbaAvailabilityGroup","True","False","False","False","False","True","True","False",
"Remove-DbaSpn","True","False","False","False","False","True","True","False",
"Restore-SqlBackupFromDirectory","True","False","False","False","False","False","True","False",
